Designator,Mid X,Mid Y,Layer,Rotation
R72,36.51,66.04,Top,180.0
R73,25.40,36.20,Top,0.0
R74,33.34,65.56,Top,0.0
R75,33.34,66.67,Top,180.0
R76,30.16,66.83,Top,0.0
R77,30.16,67.95,Top,180.0
R78,22.86,59.85,Top,270.0
R79,21.59,56.36,Top,270.0
R80,24.61,60.48,Top,180.0
R81,26.99,66.83,Top,0.0
R82,26.99,67.95,Top,180.0
R83,72.71,41.75,Top,90.0
R84,47.63,31.91,Top,90.0
R85,46.67,31.91,Top,90.0
R86,23.02,51.28,Top,0.0
R87,53.98,54.61,Top,90.0
R88,47.31,26.04,Top,270.0
R89,50.16,28.89,Top,270.0
R91,52.23,29.53,Top,0.0
R92,52.55,25.88,Top,0.0
R93,37.47,47.63,Top,0.0
R94,50.16,31.43,Top,270.0
R95,50.16,26.04,Top,90.0
R96,48.26,26.04,Top,270.0
R97,46.20,51.59,Top,45.0
R98,46.36,26.04,Top,90.0
R99,52.23,28.58,Top,180.0
R100,46.67,15.88,Top,270.0
R101,47.94,15.88,Top,90.0
R102,24.45,48.10,Top,180.0
R103,24.13,56.83,Top,180.0
R104,23.02,53.50,Top,0.0
R105,24.45,46.99,Top,180.0
R106,52.55,26.99,Top,0.0
R107,30.64,58.10,Top,180.0
R108,34.93,55.88,Top,270.0
R109,34.93,53.18,Top,270.0
R110,23.02,54.61,Top,180.0
R111,51.28,31.43,Top,90.0
R112,66.83,32.23,Top,225.0
R113,49.21,26.04,Top,270.0
R114,59.21,17.94,Top,45.0
R115,61.44,21.27,Top,45.0
R116,54.13,16.19,Top,0.0
R117,55.88,16.67,Top,90.0
R118,49.05,15.88,Top,270.0
R119,46.67,18.26,Top,270.0
R120,54.13,15.08,Top,0.0
R121,56.20,15.08,Top,0.0
R122,37.47,46.67,Top,0.0
R123,38.58,38.58,Top,270.0
R124,37.47,38.58,Top,90.0
R125,41.27,34.77,Top,0.0
R130,61.60,26.99,Top,225.0
R132,51.44,69.53,Top,270.0
R133,63.18,25.40,Top,225.0
R134,62.39,26.19,Top,45.0
R135,63.98,24.61,Top,225.0
R136,66.36,37.47,Top,270.0
R137,67.47,37.47,Top,270.0
R138,49.37,69.53,Top,270.0
SJ1,51.12,58.42,Top,180.0
SJ2,62.75,19.26,Top,0.0
SJ3, 6.67,55.56,Top,270.0
U$1,71.12,32.07,Top,270.0
U$2,70.01,49.05,Top,0.0
U$3,50.16,58.42,Top,0.0
U$5,37.31,53.18,Top,0.0
U$6,47.78,50.01,Top,225.0
U$9, 5.40,41.27,Top,270.0
U$10,37.47,42.86,Top,270.0
U$13,51.28,17.46,Top,180.0
U$17,55.88,20.00,Top,0.0
U$22,22.70,38.10,Top,90.0
U1,62.23,32.38,Top,135.0
